1.046566	1.063454	1.070666	1.074244	1.076240	1.077447	1.078210	1.078698	1.079001	1.079171	1.079241	1.079231	1.079156	1.079026	1.078847	1.078625	1.078364	1.078067	1.077737	1.077376	1.076986	1.076567	1.076121	1.075650	1.075154	1.074634	1.074091	1.073525	1.072938	1.072330	1.071701	1.071052	1.070384	1.069698	1.068993	1.068271	1.067532	1.066776	1.066005	1.065219	1.064418	1.063603	1.062774	1.061933	1.061079	1.060214	1.059338	1.058452	1.057556	1.056652	1.055739	1.054819	1.053892	1.052959	1.052022	1.051079	1.050134	1.049186	1.048236	1.047285	1.046335	1.045385	1.044438	1.043494	1.042553	1.041618	1.040689	1.039768	1.038855	1.037952	1.037059	1.036179	1.035312	1.034460	1.033624	1.032804	1.032004	1.031223	1.030463	1.029726	1.029013	1.028325	1.027664	1.027031	1.026426	1.025852	1.025310	1.024801	1.024326	1.023886	1.023482	1.023116	1.022787	1.022498	1.022248	1.022038	1.021870	1.021742	1.021657	1.021614	1.021612	1.021653	1.021737	1.021862	1.022029	1.022237	1.022486	1.022775	1.023104	1.023472	1.023878	1.024321	1.024800	1.025314	1.025862	1.026443	1.027056	1.027699	1.028370	1.029070	1.029796	1.030547	1.031321	1.032118	1.032937	1.033774	1.034630	1.035503	1.036392	1.037295	1.038211	1.039140	1.040078	1.041027	1.041983	1.042947	1.043917	1.044892	1.045870	1.046852	1.047835	1.048820	1.049804	1.050787	1.051769	1.052748	1.053723	1.054694	1.055660	1.056620	1.057573	1.058519	1.059457	1.060386	1.061306	1.062216	1.063115	1.064003	1.064880	1.065744	1.066595	1.067433	1.068258	1.069068	1.069864	1.070644	1.071409	1.072159	1.072892	1.073609	1.074309	1.074992	1.075658	1.076307	1.076939	1.077553	1.078150	1.078729	1.079291	1.079836	1.080365	1.080878	1.081375	1.081858	1.082329	1.082788	1.083238	1.083683	1.084126	1.084573	1.085033	1.085517	1.086044	1.086642	1.087359	1.088279	1.089568	1.091587	1.095223	1.102974	
1.122813	1.136584	1.144968	1.150070	1.153271	1.155339	1.156697	1.157582	1.158135	1.158444	1.158562	1.158529	1.158369	1.158100	1.157737	1.157289	1.156765	1.156169	1.155507	1.154783	1.154000	1.153162	1.152270	1.151326	1.150333	1.149292	1.148205	1.147073	1.145898	1.144681	1.143423	1.142125	1.140788	1.139415	1.138005	1.136560	1.135081	1.133570	1.132027	1.130453	1.128850	1.127220	1.125562	1.123879	1.122171	1.120440	1.118688	1.116914	1.115122	1.113312	1.111486	1.109645	1.107791	1.105925	1.104048	1.102163	1.100271	1.098374	1.096473	1.094571	1.092669	1.090769	1.088873	1.086984	1.085102	1.083231	1.081372	1.079528	1.077701	1.075893	1.074108	1.072346	1.070611	1.068905	1.067231	1.065591	1.063988	1.062426	1.060905	1.059430	1.058002	1.056625	1.055301	1.054032	1.052823	1.051674	1.050588	1.049569	1.048617	1.047736	1.046928	1.046194	1.045536	1.044956	1.044456	1.044036	1.043698	1.043444	1.043273	1.043186	1.043183	1.043265	1.043432	1.043682	1.044016	1.044433	1.044932	1.045511	1.046170	1.046907	1.047720	1.048607	1.049566	1.050595	1.051693	1.052856	1.054082	1.055369	1.056714	1.058114	1.059567	1.061070	1.062621	1.064217	1.065854	1.067531	1.069244	1.070992	1.072770	1.074578	1.076412	1.078269	1.080148	1.082046	1.083960	1.085889	1.087830	1.089780	1.091739	1.093703	1.095671	1.097640	1.099610	1.101578	1.103541	1.105500	1.107451	1.109394	1.111326	1.113247	1.115154	1.117047	1.118923	1.120782	1.122622	1.124443	1.126242	1.128019	1.129772	1.131501	1.133205	1.134881	1.136531	1.138152	1.139743	1.141305	1.142835	1.144334	1.145801	1.147235	1.148636	1.150003	1.151335	1.152633	1.153896	1.155124	1.156318	1.157476	1.158600	1.159690	1.160747	1.161772	1.162766	1.163731	1.164670	1.165586	1.166483	1.167368	1.168248	1.169134	1.170042	1.170993	1.172019	1.173168	1.174516	1.176191	1.178409	1.181558	1.186332	1.193862	
1.205128	1.215103	1.222552	1.227801	1.231437	1.233944	1.235657	1.236799	1.237517	1.237907	1.238038	1.237955	1.237692	1.237272	1.236715	1.236033	1.235238	1.234338	1.233340	1.232250	1.231073	1.229812	1.228471	1.227054	1.225562	1.223999	1.222366	1.220667	1.218902	1.217075	1.215186	1.213237	1.211231	1.209169	1.207053	1.204884	1.202665	1.200396	1.198080	1.195718	1.193313	1.190865	1.188377	1.185850	1.183287	1.180690	1.178059	1.175398	1.172708	1.169991	1.167250	1.164486	1.161703	1.158901	1.156085	1.153255	1.150415	1.147567	1.144714	1.141858	1.139003	1.136151	1.133304	1.130467	1.127642	1.124832	1.122042	1.119273	1.116529	1.113815	1.111133	1.108487	1.105881	1.103319	1.100805	1.098342	1.095934	1.093587	1.091302	1.089086	1.086941	1.084872	1.082883	1.080977	1.079159	1.077433	1.075801	1.074269	1.072839	1.071515	1.070300	1.069196	1.068207	1.067336	1.066584	1.065953	1.065445	1.065062	1.064805	1.064674	1.064670	1.064793	1.065043	1.065420	1.065922	1.066549	1.067298	1.068169	1.069159	1.070266	1.071488	1.072821	1.074262	1.075809	1.077458	1.079206	1.081048	1.082982	1.085002	1.087106	1.089289	1.091548	1.093877	1.096274	1.098733	1.101252	1.103825	1.106450	1.109121	1.111835	1.114589	1.117379	1.120200	1.123050	1.125924	1.128820	1.131734	1.134662	1.137603	1.140551	1.143506	1.146462	1.149419	1.152373	1.155321	1.158261	1.161190	1.164106	1.167006	1.169889	1.172752	1.175592	1.178409	1.181199	1.183961	1.186693	1.189393	1.192060	1.194691	1.197286	1.199842	1.202359	1.204834	1.207266	1.209655	1.211998	1.214295	1.216544	1.218745	1.220897	1.222999	1.225049	1.227049	1.228996	1.230891	1.232733	1.234523	1.236260	1.237945	1.239579	1.241163	1.242698	1.244187	1.245631	1.247035	1.248404	1.249743	1.251060	1.252366	1.253677	1.255011	1.256396	1.257872	1.259495	1.261350	1.263561	1.266320	1.269905	1.274687	1.281017	
1.288739	1.296149	1.302339	1.307146	1.310735	1.313345	1.315192	1.316444	1.317228	1.317634	1.317730	1.317564	1.317173	1.316585	1.315819	1.314893	1.313819	1.312608	1.311269	1.309808	1.308232	1.306545	1.304752	1.302858	1.300865	1.298777	1.296597	1.294328	1.291972	1.289532	1.287011	1.284410	1.281733	1.278981	1.276157	1.273262	1.270300	1.267273	1.264182	1.261030	1.257820	1.254553	1.251233	1.247861	1.244441	1.240974	1.237463	1.233912	1.230322	1.226696	1.223038	1.219350	1.215635	1.211896	1.208136	1.204360	1.200569	1.196768	1.192959	1.189147	1.185335	1.181528	1.177728	1.173940	1.170168	1.166417	1.162691	1.158993	1.155330	1.151705	1.148123	1.144589	1.141109	1.137687	1.134328	1.131038	1.127822	1.124686	1.121634	1.118672	1.115806	1.113041	1.110382	1.107835	1.105405	1.103097	1.100917	1.098868	1.096956	1.095186	1.093561	1.092085	1.090763	1.089597	1.088591	1.087748	1.087069	1.086556	1.086212	1.086037	1.086031	1.086196	1.086530	1.087033	1.087705	1.088542	1.089545	1.090709	1.092033	1.093513	1.095146	1.096928	1.098855	1.100923	1.103127	1.105463	1.107925	1.110509	1.113209	1.116021	1.118938	1.121955	1.125068	1.128269	1.131555	1.134919	1.138357	1.141862	1.145430	1.149055	1.152733	1.156458	1.160225	1.164030	1.167868	1.171735	1.175625	1.179535	1.183460	1.187396	1.191340	1.195287	1.199233	1.203176	1.207110	1.211034	1.214943	1.218835	1.222706	1.226553	1.230373	1.234164	1.237922	1.241646	1.245331	1.248977	1.252580	1.256138	1.259650	1.263112	1.266522	1.269880	1.273182	1.276427	1.279614	1.282740	1.285804	1.288805	1.291741	1.294612	1.297415	1.300150	1.302816	1.305413	1.307940	1.310397	1.312783	1.315098	1.317344	1.319521	1.321631	1.323674	1.325655	1.327575	1.329440	1.331255	1.333026	1.334765	1.336484	1.338198	1.339931	1.341711	1.343581	1.345594	1.347829	1.350388	1.353409	1.357058	1.361498	1.366784	
1.372663	1.378420	1.383511	1.387713	1.391016	1.393513	1.395324	1.396561	1.397319	1.397675	1.397687	1.397402	1.396857	1.396077	1.395087	1.393904	1.392541	1.391011	1.389322	1.387485	1.385504	1.383387	1.381138	1.378763	1.376266	1.373650	1.370920	1.368079	1.365129	1.362075	1.358918	1.355663	1.352312	1.348868	1.345333	1.341711	1.338004	1.334215	1.330347	1.326403	1.322386	1.318298	1.314143	1.309924	1.305643	1.301305	1.296911	1.292467	1.287974	1.283437	1.278858	1.274242	1.269593	1.264913	1.260208	1.255481	1.250736	1.245977	1.241210	1.236438	1.231666	1.226899	1.222142	1.217399	1.212676	1.207979	1.203312	1.198682	1.194094	1.189554	1.185067	1.180641	1.176281	1.171993	1.167785	1.163663	1.159633	1.155702	1.151877	1.148164	1.144571	1.141105	1.137772	1.134578	1.131531	1.128637	1.125902	1.123332	1.120934	1.118713	1.116674	1.114823	1.113164	1.111701	1.110438	1.109379	1.108527	1.107884	1.107451	1.107231	1.107224	1.107430	1.107849	1.108480	1.109322	1.110373	1.111630	1.113091	1.114751	1.116608	1.118656	1.120891	1.123308	1.125901	1.128666	1.131594	1.134682	1.137922	1.141307	1.144831	1.148488	1.152270	1.156171	1.160183	1.164300	1.168516	1.172823	1.177214	1.181684	1.186225	1.190832	1.195497	1.200215	1.204981	1.209787	1.214628	1.219499	1.224394	1.229308	1.234236	1.239173	1.244114	1.249054	1.253989	1.258914	1.263825	1.268717	1.273588	1.278432	1.283247	1.288027	1.292771	1.297474	1.302133	1.306745	1.311306	1.315815	1.320267	1.324660	1.328991	1.333259	1.337459	1.341590	1.345650	1.349636	1.353547	1.357380	1.361134	1.364806	1.368396	1.371902	1.375323	1.378657	1.381904	1.385063	1.388134	1.391116	1.394010	1.396816	1.399534	1.402168	1.404717	1.407186	1.409578	1.411898	1.414152	1.416347	1.418495	1.420609	1.422705	1.424806	1.426942	1.429149	1.431477	1.433987	1.436756	1.439873	1.443425	1.447466	1.451961	
1.456713	1.461360	1.465578	1.469181	1.472107	1.474372	1.476035	1.477161	1.477818	1.478063	1.477945	1.477506	1.476777	1.475786	1.474553	1.473098	1.471434	1.469575	1.467530	1.465308	1.462917	1.460364	1.457655	1.454795	1.451790	1.448643	1.445359	1.441941	1.438395	1.434723	1.430929	1.427016	1.422988	1.418849	1.414601	1.410248	1.405793	1.401241	1.396593	1.391853	1.387026	1.382114	1.377121	1.372051	1.366907	1.361694	1.356415	1.351073	1.345674	1.340222	1.334719	1.329172	1.323584	1.317960	1.312305	1.306623	1.300919	1.295199	1.289469	1.283732	1.277995	1.272263	1.266543	1.260841	1.255162	1.249513	1.243901	1.238332	1.232813	1.227351	1.221954	1.216629	1.211382	1.206223	1.201159	1.196197	1.191346	1.186614	1.182009	1.177539	1.173213	1.169038	1.165023	1.161177	1.157506	1.154019	1.150724	1.147627	1.144737	1.142060	1.139602	1.137370	1.135370	1.133606	1.132084	1.130806	1.129778	1.129002	1.128480	1.128214	1.128205	1.128453	1.128958	1.129719	1.130733	1.132000	1.133515	1.135275	1.137276	1.139513	1.141982	1.144675	1.147587	1.150712	1.154042	1.157570	1.161289	1.165191	1.169268	1.173512	1.177915	1.182468	1.187164	1.191994	1.196950	1.202023	1.207206	1.212491	1.217869	1.223332	1.228874	1.234486	1.240161	1.245892	1.251672	1.257494	1.263352	1.269238	1.275146	1.281071	1.287006	1.292945	1.298883	1.304815	1.310734	1.316637	1.322517	1.328370	1.334192	1.339977	1.345722	1.351422	1.357073	1.362671	1.368212	1.373693	1.379109	1.384458	1.389736	1.394939	1.400065	1.405111	1.410074	1.414951	1.419739	1.424436	1.429039	1.433548	1.437958	1.442269	1.446479	1.450586	1.454589	1.458487	1.462279	1.465964	1.469542	1.473014	1.476378	1.479637	1.482793	1.485846	1.488799	1.491658	1.494426	1.497111	1.499720	1.502264	1.504755	1.507211	1.509652	1.512105	1.514601	1.517181	1.519890	1.522782	1.525907	1.529306	1.532985	1.536887	
1.540873	1.544733	1.548266	1.551333	1.553862	1.555840	1.557286	1.558236	1.558733	1.558818	1.558531	1.557904	1.556965	1.555739	1.554247	1.552505	1.550529	1.548329	1.545918	1.543305	1.540497	1.537503	1.534328	1.530978	1.527459	1.523777	1.519935	1.515938	1.511791	1.507498	1.503062	1.498489	1.493781	1.488943	1.483979	1.478892	1.473686	1.468365	1.462934	1.457396	1.451755	1.446015	1.440180	1.434256	1.428245	1.422153	1.415984	1.409742	1.403432	1.397060	1.390630	1.384146	1.377615	1.371042	1.364431	1.357790	1.351123	1.344436	1.337736	1.331029	1.324322	1.317620	1.310931	1.304262	1.297621	1.291014	1.284449	1.277934	1.271478	1.265087	1.258772	1.252540	1.246400	1.240361	1.234433	1.228624	1.222944	1.217402	1.212009	1.206773	1.201705	1.196814	1.192110	1.187602	1.183299	1.179212	1.175349	1.171718	1.168329	1.165189	1.162307	1.159689	1.157342	1.155272	1.153486	1.151987	1.150780	1.149869	1.149256	1.148943	1.148931	1.149222	1.149813	1.150705	1.151895	1.153380	1.155156	1.157221	1.159567	1.162190	1.165084	1.168242	1.171656	1.175319	1.179222	1.183357	1.187715	1.192287	1.197064	1.202036	1.207193	1.212527	1.218026	1.223682	1.229485	1.235424	1.241491	1.247677	1.253971	1.260364	1.266849	1.273415	1.280054	1.286759	1.293519	1.300329	1.307179	1.314062	1.320971	1.327898	1.334837	1.341781	1.348723	1.355656	1.362576	1.369475	1.376347	1.383188	1.389992	1.396753	1.403466	1.410126	1.416729	1.423270	1.429744	1.436148	1.442476	1.448725	1.454890	1.460969	1.466957	1.472851	1.478648	1.484344	1.489936	1.495422	1.500799	1.506064	1.511214	1.516248	1.521164	1.525959	1.530632	1.535181	1.539607	1.543907	1.548081	1.552129	1.556052	1.559850	1.563524	1.567078	1.570513	1.573833	1.577044	1.580151	1.583163	1.586090	1.588943	1.591737	1.594492	1.597230	1.599976	1.602761	1.605617	1.608579	1.611673	1.614913	1.618285	1.621736	
1.625164	1.628438	1.631427	1.634026	1.636175	1.637845	1.639038	1.639769	1.640065	1.639953	1.639462	1.638618	1.637446	1.635966	1.634196	1.632153	1.629851	1.627301	1.624515	1.621502	1.618270	1.614828	1.611180	1.607336	1.603299	1.599076	1.594671	1.590091	1.585339	1.580420	1.575340	1.570101	1.564709	1.559169	1.553484	1.547659	1.541698	1.535606	1.529387	1.523046	1.516587	1.510015	1.503335	1.496552	1.489670	1.482694	1.475630	1.468483	1.461258	1.453961	1.446597	1.439173	1.431693	1.424165	1.416594	1.408987	1.401350	1.393690	1.386015	1.378331	1.370646	1.362967	1.355303	1.347661	1.340049	1.332476	1.324951	1.317482	1.310080	1.302752	1.295510	1.288362	1.281319	1.274392	1.267590	1.260924	1.254406	1.248046	1.241854	1.235843	1.230024	1.224406	1.219003	1.213824	1.208881	1.204184	1.199744	1.195571	1.191674	1.188064	1.184750	1.181739	1.179039	1.176658	1.174603	1.172878	1.171489	1.170439	1.169733	1.169372	1.169358	1.169691	1.170371	1.171396	1.172764	1.174471	1.176513	1.178886	1.181584	1.184599	1.187926	1.191555	1.195479	1.199688	1.204173	1.208924	1.213930	1.219182	1.224668	1.230378	1.236300	1.242422	1.248735	1.255227	1.261885	1.268701	1.275662	1.282757	1.289976	1.297309	1.304745	1.312274	1.319886	1.327572	1.335322	1.343126	1.350977	1.358864	1.366781	1.374718	1.382668	1.390622	1.398575	1.406517	1.414442	1.422343	1.430214	1.438048	1.445839	1.453580	1.461267	1.468893	1.476452	1.483941	1.491352	1.498683	1.505926	1.513079	1.520137	1.527094	1.533948	1.540694	1.547328	1.553846	1.560246	1.566524	1.572676	1.578700	1.584592	1.590351	1.595974	1.601459	1.606803	1.612006	1.617065	1.621980	1.626751	1.631376	1.635856	1.640191	1.644383	1.648434	1.652347	1.656124	1.659771	1.663293	1.666698	1.669995	1.673194	1.676309	1.679356	1.682352	1.685318	1.688275	1.691246	1.694250	1.697299	1.700394	1.703514	1.706612	
1.709616	1.712436	1.714982	1.717178	1.718972	1.720335	1.721258	1.721745	1.721811	1.721473	1.720752	1.719669	1.718241	1.716488	1.714425	1.712067	1.709427	1.706517	1.703346	1.699924	1.696261	1.692363	1.688237	1.683891	1.679331	1.674562	1.669590	1.664421	1.659060	1.653511	1.647780	1.641873	1.635793	1.629545	1.623135	1.616568	1.609847	1.602979	1.595968	1.588819	1.581538	1.574130	1.566599	1.558951	1.551193	1.543329	1.535365	1.527307	1.519161	1.510934	1.502631	1.494259	1.485825	1.477335	1.468797	1.460218	1.451604	1.442965	1.434307	1.425639	1.416969	1.408305	1.399657	1.391033	1.382442	1.373894	1.365400	1.356968	1.348610	1.340336	1.332157	1.324084	1.316128	1.308301	1.300615	1.293082	1.285714	1.278523	1.271523	1.264725	1.258143	1.251788	1.245674	1.239814	1.234219	1.228902	1.223875	1.219149	1.214736	1.210647	1.206892	1.203480	1.200421	1.197722	1.195392	1.193436	1.191860	1.190670	1.189869	1.189458	1.189441	1.189817	1.190587	1.191747	1.193296	1.195229	1.197543	1.200230	1.203286	1.206701	1.210468	1.214577	1.219020	1.223785	1.228861	1.234238	1.239904	1.245846	1.252053	1.258511	1.265208	1.272132	1.279269	1.286607	1.294134	1.301836	1.309701	1.317718	1.325873	1.334155	1.342553	1.351054	1.359649	1.368325	1.377073	1.385882	1.394742	1.403642	1.412575	1.421530	1.430498	1.439472	1.448441	1.457399	1.466337	1.475247	1.484122	1.492956	1.501740	1.510468	1.519134	1.527730	1.536252	1.544693	1.553048	1.561309	1.569474	1.577535	1.585489	1.593329	1.601052	1.608654	1.616129	1.623474	1.630684	1.637756	1.644687	1.651473	1.658110	1.664597	1.670929	1.677105	1.683122	1.688979	1.694674	1.700205	1.705572	1.710774	1.715810	1.720682	1.725390	1.729936	1.734322	1.738552	1.742629	1.746559	1.750348	1.754004	1.757537	1.760957	1.764277	1.767511	1.770675	1.773782	1.776848	1.779882	1.782887	1.785858	1.788771	1.791590	
1.794259	1.796715	1.798894	1.800739	1.802207	1.803272	1.803921	1.804150	1.803968	1.803384	1.802413	1.801070	1.799369	1.797327	1.794957	1.792271	1.789281	1.785999	1.782434	1.778596	1.774493	1.770132	1.765522	1.760668	1.755578	1.750258	1.744713	1.738950	1.732974	1.726791	1.720405	1.713823	1.707050	1.700091	1.692951	1.685636	1.678151	1.670502	1.662693	1.654732	1.646623	1.638372	1.629985	1.621468	1.612828	1.604069	1.595199	1.586224	1.577152	1.567987	1.558739	1.549413	1.540017	1.530559	1.521047	1.511488	1.501891	1.492263	1.482615	1.472954	1.463290	1.453633	1.443991	1.434376	1.424797	1.415265	1.405791	1.396386	1.387061	1.377830	1.368702	1.359692	1.350811	1.342073	1.333491	1.325078	1.316848	1.308815	1.300992	1.293395	1.286037	1.278933	1.272096	1.265542	1.259283	1.253334	1.247708	1.242419	1.237478	1.232900	1.228694	1.224872	1.221445	1.218421	1.215809	1.213617	1.211850	1.210515	1.209616	1.209155	1.209134	1.209554	1.210414	1.211713	1.213446	1.215611	1.218201	1.221210	1.224631	1.228454	1.232670	1.237270	1.242241	1.247573	1.253253	1.259268	1.265605	1.272249	1.279189	1.286408	1.293894	1.301631	1.309606	1.317803	1.326210	1.334812	1.343594	1.352543	1.361646	1.370890	1.380261	1.389746	1.399334	1.409012	1.418768	1.428592	1.438470	1.448394	1.458352	1.468334	1.478329	1.488330	1.498325	1.508306	1.518264	1.528191	1.538078	1.547918	1.557702	1.567424	1.577075	1.586649	1.596139	1.605539	1.614841	1.624040	1.633130	1.642105	1.650960	1.659688	1.668285	1.676747	1.685067	1.693242	1.701267	1.709138	1.716850	1.724401	1.731786	1.739003	1.746047	1.752917	1.759610	1.766122	1.772454	1.778602	1.784566	1.790344	1.795937	1.801345	1.806567	1.811606	1.816462	1.821140	1.825642	1.829973	1.834139	1.838145	1.842000	1.845713	1.849292	1.852750	1.856095	1.859339	1.862489	1.865550	1.868519	1.871386	1.874132	1.876725	
